Date,Count
2019-01-02,3
2019-01-04,2
2019-01-07,1
2019-01-08,2
2019-01-09,1
2019-01-10,2
2019-01-17,1
2019-01-18,2
2019-01-22,2
2019-01-23,2
2019-01-24,4
2019-01-25,3
2019-01-28,1
2019-02-01,2
2019-02-04,2
2019-02-05,1
2019-02-06,2
2019-02-07,1
2019-02-08,1
2019-02-11,1
2019-02-14,5
2019-02-15,1
2019-02-16,1
2019-02-18,1
2019-02-19,4
2019-02-20,2
2019-02-21,1
2019-02-22,3
2019-02-23,1
2019-02-25,1
2019-02-26,1
2019-02-27,2
2019-02-28,3
2019-03-02,1
2019-03-04,1
2019-03-06,2
2019-03-07,2
2019-03-08,2
2019-03-09,2
2019-03-11,3
2019-03-13,3
2019-03-14,2
2019-03-15,1
2019-03-16,1
2019-03-18,4
2019-03-20,3
2019-03-21,7
2019-03-22,3
2019-03-23,2
2019-03-25,1
2019-03-26,1
2019-03-27,2
2019-03-28,4
2019-03-29,3
2019-03-30,2
2019-04-01,2
2019-04-03,1
2019-04-05,2
2019-04-08,1
2019-04-10,1
2019-04-12,1
2019-04-15,2
2019-04-17,2
2019-04-18,3
2019-04-19,4
2019-04-22,3
2019-04-23,1
2019-04-24,1
2019-04-27,2
2019-04-29,1
2019-04-30,2
2019-05-01,6
2019-05-02,2
2019-05-03,1
2019-05-04,3
2019-05-06,1
2019-05-07,1
2019-05-08,1
2019-05-10,7
2019-05-11,1
2019-05-13,2
2019-05-14,3
2019-05-15,2
2019-05-16,2
2019-05-17,2
2019-05-18,1
2019-05-20,2
2019-05-22,2
2019-05-23,1
2019-05-24,2
2019-05-25,1
2019-05-29,4
2019-05-31,1
2019-06-04,2
2019-06-07,2
2019-06-10,1
2019-06-11,1
2019-06-12,1
2019-06-13,1
2019-06-14,1
2019-06-15,1
2019-06-17,1
2019-06-18,1
2019-06-19,1
2019-06-21,1
2019-06-22,2
2019-06-25,3
2019-06-26,2
2019-06-27,1
2019-06-28,1
2019-07-01,1
2019-07-02,4
2019-07-05,1
2019-07-08,2
2019-07-11,6
2019-07-12,4
2019-07-13,1
2019-07-15,3
2019-07-19,1
2019-07-20,1
2019-07-24,2
2019-08-02,2
2019-08-06,3
2019-08-07,1
2019-08-08,2
2019-08-09,1
2019-08-14,1
2019-08-15,3
2019-08-16,2
2019-08-17,1
2019-08-19,1
2019-08-22,3
2019-08-23,2
2019-08-24,1
2019-08-26,1
2019-08-28,1
2019-09-23,3
2019-09-25,4
2019-09-26,2
2019-09-28,1
2019-10-02,3
2019-10-03,1
2019-10-04,4
2019-10-07,3
2019-10-08,2
2019-10-10,2
2019-10-11,1
2019-10-14,3
2019-10-15,1
2019-10-18,2
2019-10-21,1
2019-10-22,1
2019-10-23,3
2019-10-24,3
2019-10-26,1
2019-10-28,3
2019-10-29,1
2019-10-30,2
2019-10-31,2
2019-11-01,1
2019-11-02,2
2019-11-04,2
2019-11-05,1
2019-11-06,1
2019-11-07,3
2019-11-08,2
2019-11-11,2
2019-11-12,2
2019-11-13,4
2019-11-14,2
2019-11-18,2
2019-11-19,1
2019-11-20,3
2019-11-25,1
2019-11-27,2
2019-11-29,1
2019-11-30,3
2019-12-02,3
2019-12-03,3
2019-12-04,1
2019-12-11,1
2019-12-12,2
2019-12-13,1
2019-12-14,1
2019-12-16,1
2019-12-17,4
2019-12-18,3
2019-12-19,2
2019-12-20,2
2019-12-21,2
2019-12-23,1
2019-12-28,1
2019-12-30,2
