Date,Count
2019-01-01,14
2019-01-02,48
2019-01-03,45
2019-01-04,43
2019-01-05,14
2019-01-06,9
2019-01-07,71
2019-01-08,59
2019-01-09,66
2019-01-10,72
2019-01-11,45
2019-01-12,18
2019-01-13,7
2019-01-14,53
2019-01-15,76
2019-01-16,60
2019-01-17,65
2019-01-18,64
2019-01-19,25
2019-01-20,10
2019-01-21,36
2019-01-22,56
2019-01-23,63
2019-01-24,84
2019-01-25,65
2019-01-26,18
2019-01-27,8
2019-01-28,53
2019-01-29,65
2019-01-30,25
2019-01-31,26
2019-02-01,88
2019-02-02,23
2019-02-03,7
2019-02-04,50
2019-02-05,55
2019-02-06,47
2019-02-07,79
2019-02-08,86
2019-02-09,25
2019-02-10,7
2019-02-11,49
2019-02-12,56
2019-02-13,72
2019-02-14,46
2019-02-15,63
2019-02-16,29
2019-02-17,12
2019-02-18,45
2019-02-19,57
2019-02-20,75
2019-02-21,77
2019-02-22,98
2019-02-23,27
2019-02-24,9
2019-02-25,67
2019-02-26,71
2019-02-27,73
2019-02-28,77
2019-03-01,85
2019-03-02,27
2019-03-03,15
2019-03-04,75
2019-03-05,82
2019-03-06,94
2019-03-07,91
2019-03-08,64
2019-03-09,20
2019-03-10,14
2019-03-11,66
2019-03-12,83
2019-03-13,66
2019-03-14,68
2019-03-15,62
2019-03-16,41
2019-03-17,12
2019-03-18,62
2019-03-19,66
2019-03-20,64
2019-03-21,88
2019-03-22,81
2019-03-23,30
2019-03-24,9
2019-03-25,39
2019-03-26,50
2019-03-27,61
2019-03-28,48
2019-03-29,64
2019-03-30,22
2019-03-31,16
2019-04-01,84
2019-04-02,67
2019-04-03,78
2019-04-04,80
2019-04-05,64
2019-04-06,24
2019-04-07,13
2019-04-08,48
2019-04-09,57
2019-04-10,56
2019-04-11,77
2019-04-12,45
2019-04-13,32
2019-04-14,16
2019-04-15,44
2019-04-16,52
2019-04-17,79
2019-04-18,86
2019-04-19,51
2019-04-20,25
2019-04-21,16
2019-04-22,37
2019-04-23,59
2019-04-24,58
2019-04-25,71
2019-04-26,77
2019-04-27,25
2019-04-28,15
2019-04-29,74
2019-04-30,95
2019-05-01,58
2019-05-02,79
2019-05-03,73
2019-05-04,20
2019-05-05,15
2019-05-06,57
2019-05-07,79
2019-05-08,93
2019-05-09,76
2019-05-10,63
2019-05-11,16
2019-05-12,10
2019-05-13,71
2019-05-14,65
2019-05-15,57
2019-05-16,75
2019-05-17,69
2019-05-18,26
2019-05-19,11
2019-05-20,73
2019-05-21,87
