Date,Count
2019-01-01,143
2019-01-02,168
2019-01-03,169
2019-01-04,142
2019-01-05,121
2019-01-06,182
2019-01-07,200
2019-01-08,209
2019-01-09,238
2019-01-10,256
2019-01-11,201
2019-01-12,96
2019-01-13,187
2019-01-14,204
2019-01-15,225
2019-01-16,223
2019-01-17,221
2019-01-18,198
2019-01-19,82
2019-01-20,185
2019-01-21,219
2019-01-22,207
2019-01-23,260
2019-01-24,227
2019-01-25,202
2019-01-26,100
2019-01-27,177
2019-01-28,168
2019-01-29,193
2019-01-30,137
2019-01-31,208
2019-02-01,242
2019-02-02,97
2019-02-03,165
2019-02-04,242
2019-02-05,174
2019-02-06,224
2019-02-07,255
2019-02-08,206
2019-02-09,100
2019-02-10,190
2019-02-11,225
2019-02-12,218
2019-02-13,196
2019-02-14,197
2019-02-15,194
2019-02-16,107
2019-02-17,163
2019-02-18,275
2019-02-19,265
2019-02-20,260
2019-02-21,253
2019-02-22,210
2019-02-23,116
2019-02-24,230
2019-02-25,242
2019-02-26,230
2019-02-27,235
2019-02-28,275
2019-03-01,285
2019-03-02,116
2019-03-03,257
2019-03-04,284
2019-03-05,245
2019-03-06,234
2019-03-07,264
2019-03-08,201
2019-03-09,99
2019-03-10,248
2019-03-11,256
2019-03-12,218
2019-03-13,234
2019-03-14,312
2019-03-15,294
2019-03-16,156
2019-03-17,217
2019-03-18,282
2019-03-19,236
2019-03-20,240
2019-03-21,250
2019-03-22,210
2019-03-23,111
2019-03-24,280
2019-03-25,248
2019-03-26,232
2019-03-27,230
2019-03-28,294
2019-03-29,252
2019-03-30,159
2019-03-31,327
2019-04-01,333
2019-04-02,290
2019-04-03,306
2019-04-04,341
2019-04-05,273
2019-04-06,85
2019-04-07,232
2019-04-08,208
2019-04-09,187
2019-04-10,220
2019-04-11,190
2019-04-12,164
2019-04-13,137
2019-04-14,278
2019-04-15,318
2019-04-16,254
2019-04-17,212
2019-04-18,262
2019-04-19,184
2019-04-20,116
2019-04-21,215
2019-04-22,316
2019-04-23,267
2019-04-24,263
2019-04-25,276
2019-04-26,221
2019-04-27,159
2019-04-28,325
2019-04-29,348
2019-04-30,304
2019-05-01,289
2019-05-02,343
2019-05-03,294
2019-05-04,133
2019-05-05,274
2019-05-06,318
2019-05-07,260
2019-05-08,302
2019-05-09,298
2019-05-10,232
2019-05-11,128
2019-05-12,253
2019-05-13,336
2019-05-14,250
2019-05-15,264
2019-05-16,314
2019-05-17,327
2019-05-18,180
2019-05-19,273
2019-05-20,372
2019-05-21,296
2019-05-22,283
2019-05-23,287
2019-05-24,219
2019-05-25,95
2019-05-26,120
2019-05-27,191
2019-05-28,320
2019-05-29,284
2019-05-30,373
2019-05-31,340
2019-06-01,140
2019-06-02,222
2019-06-03,255
2019-06-04,297
2019-06-05,285
2019-06-06,256
2019-06-07,225
2019-06-08,141
2019-06-09,293
2019-06-10,271
2019-06-11,256
2019-06-12,276
2019-06-13,259
2019-06-14,218
2019-06-15,141
2019-06-16,237
2019-06-17,316
2019-06-18,223
2019-06-19,250
2019-06-20,269
2019-06-21,215
2019-06-22,108
2019-06-23,185
2019-06-24,311
2019-06-25,231
2019-06-26,261
2019-06-27,258
2019-06-28,216
2019-06-29,117
2019-06-30,162
2019-07-01,150
2019-07-02,96
2019-07-03,142
2019-07-04,76
2019-07-05,83
2019-07-06,99
2019-07-07,174
2019-07-08,229
2019-07-09,217
2019-07-10,209
2019-07-11,215
2019-07-12,209
2019-07-13,133
2019-07-14,224
2019-07-15,320
2019-07-16,240
2019-07-17,265
2019-07-18,272
2019-07-19,289
2019-07-20,142
2019-07-21,210
2019-07-22,283
2019-07-23,207
2019-07-24,227
2019-07-25,225
2019-07-26,228
2019-07-27,124
2019-07-28,182
2019-07-29,229
2019-07-30,207
2019-07-31,231
2019-08-01,246
2019-08-02,195
2019-08-03,144
2019-08-04,163
2019-08-05,215
2019-08-06,184
2019-08-07,213
2019-08-08,250
2019-08-09,198
2019-08-10,111
2019-08-11,206
2019-08-12,225
2019-08-13,197
2019-08-14,238
2019-08-15,231
2019-08-16,176
2019-08-17,94
2019-08-18,174
2019-08-19,277
2019-08-20,216
2019-08-21,240
2019-08-22,224
2019-08-23,202
2019-08-24,123
2019-08-25,212
2019-08-26,253
2019-08-27,205
2019-08-28,197
2019-08-29,196
2019-08-30,171
2019-08-31,95
2019-09-01,119
2019-09-02,146
2019-09-03,253
2019-09-04,213
2019-09-05,221
2019-09-06,178
2019-09-07,115
2019-09-08,230
2019-09-09,273
2019-09-10,248
2019-09-11,259
2019-09-12,244
2019-09-13,314
2019-09-14,162
2019-09-15,267
2019-09-16,253
2019-09-17,245
2019-09-18,297
2019-09-19,288
