Date,Count
2019-01-08,1
2019-01-13,1
2019-01-17,2
2019-01-19,1
2019-01-20,1
2019-01-29,1
2019-02-06,1
2019-02-09,1
2019-02-12,1
2019-02-15,1
2019-02-22,1
2019-02-24,2
2019-03-04,1
2019-03-07,3
2019-03-11,2
2019-03-13,1
2019-03-15,1
2019-03-16,1
2019-03-22,1
2019-03-23,3
2019-03-28,1
2019-03-30,1
2019-03-31,2
2019-04-03,1
2019-04-04,1
2019-04-14,1
2019-04-15,2
2019-04-19,1
2019-04-25,5
2019-05-02,2
2019-05-04,1
2019-05-08,2
2019-05-10,1
2019-05-12,1
2019-05-13,1
2019-05-17,1
2019-05-18,1
2019-05-22,1
2019-05-28,2
2019-05-30,1
2019-05-31,1
2019-06-02,1
2019-06-04,1
2019-06-05,2
2019-06-14,1
2019-06-15,1
2019-06-16,1
2019-06-21,1
2019-06-22,1
2019-06-24,2
2019-06-26,2
2019-07-08,1
2019-07-10,1
2019-07-11,1
2019-07-18,1
2019-07-20,1
2019-07-22,1
2019-07-25,1
2019-07-27,1
2019-07-28,1
2019-08-02,1
2019-08-06,2
2019-08-08,1
2019-08-09,1
2019-08-11,2
2019-08-12,1
2019-08-15,2
2019-08-17,1
2019-08-19,1
2019-08-21,1
2019-08-22,1
2019-08-24,1
2019-08-26,1
2019-08-27,1
2019-08-31,1
2019-09-03,2
2019-09-04,1
2019-09-05,2
2019-09-09,2
2019-09-10,1
2019-09-15,1
2019-09-17,2
2019-09-19,2
2019-09-25,1
2019-09-26,1
2019-09-30,1
2019-10-01,1
2019-10-02,1
2019-10-04,1
2019-10-13,1
2019-10-16,1
2019-10-23,1
2019-10-27,1
2019-10-28,1
2019-10-30,1
2019-11-03,2
2019-11-05,1
2019-11-07,1
2019-11-10,1
2019-11-14,1
2019-11-18,1
2019-11-26,1
2019-11-30,1
2019-12-03,1
2019-12-08,2
2019-12-10,1
2019-12-14,1
2019-12-18,2
2019-12-20,2
