Date,Count
2019-01-07,2
2019-01-09,1
2019-01-10,2
2019-01-11,1
2019-01-14,2
2019-01-20,2
2019-01-22,1
2019-01-24,1
2019-01-25,2
2019-01-29,1
2019-02-05,2
2019-02-07,1
2019-02-08,1
2019-02-09,1
2019-02-10,1
2019-02-11,2
2019-02-17,1
2019-02-20,1
2019-02-21,1
2019-02-22,2
2019-02-25,1
2019-02-26,2
2019-02-27,3
2019-02-28,1
2019-03-01,1
2019-03-02,1
2019-03-03,1
2019-03-04,1
2019-03-06,1
2019-03-07,1
2019-03-08,2
2019-03-09,2
2019-03-11,1
2019-03-12,1
2019-03-15,1
2019-03-17,1
2019-03-18,1
2019-03-19,1
2019-03-25,1
2019-03-28,2
2019-03-29,1
2019-03-31,1
2019-04-01,1
2019-04-02,1
2019-04-05,1
2019-04-06,1
2019-04-08,1
2019-04-19,1
2019-04-25,1
2019-04-26,1
2019-05-01,1
2019-05-06,2
2019-05-08,1
2019-05-11,3
2019-05-12,1
2019-05-15,2
2019-05-16,1
2019-05-19,1
2019-05-20,1
2019-05-21,2
2019-05-22,1
2019-05-29,1
2019-05-30,1
2019-06-03,2
2019-06-07,1
2019-06-11,1
2019-06-19,2
2019-06-20,1
2019-06-21,2
2019-06-22,1
2019-06-24,2
2019-07-02,2
2019-07-04,2
2019-07-07,1
2019-07-08,1
2019-07-09,1
2019-07-10,1
2019-07-17,3
2019-07-18,1
2019-07-19,1
2019-07-23,2
2019-08-01,1
2019-08-02,1
2019-08-03,1
2019-08-04,1
2019-08-09,1
2019-08-10,1
2019-08-11,1
2019-08-22,1
2019-08-26,1
2019-08-27,1
2019-09-02,1
2019-09-03,1
2019-09-04,1
2019-09-05,2
2019-09-09,1
2019-09-11,2
2019-09-12,1
2019-09-13,1
2019-09-15,1
2019-09-18,1
2019-09-19,2
2019-09-23,1
2019-09-27,1
2019-09-29,1
2019-10-04,1
2019-10-11,2
2019-10-14,1
2019-10-15,1
2019-10-19,2
2019-10-20,2
2019-10-24,2
2019-10-25,1
2019-10-29,1
2019-10-31,2
2019-11-04,1
2019-11-05,1
2019-11-06,1
2019-11-07,1
2019-11-08,1
2019-11-11,1
2019-11-12,2
2019-11-13,4
2019-11-15,1
2019-11-16,1
2019-11-17,1
2019-11-18,1
2019-11-19,2
2019-11-20,1
2019-11-22,1
2019-11-23,1
2019-11-25,1
2019-11-26,2
2019-11-29,2
2019-12-02,1
2019-12-03,2
2019-12-04,1
2019-12-05,1
2019-12-06,1
2019-12-07,1
2019-12-08,1
2019-12-09,2
2019-12-10,1
2019-12-12,1
2019-12-13,1
2019-12-14,2
2019-12-15,2
2019-12-16,1
2019-12-17,1
2019-12-18,1
2019-12-19,1
2019-12-21,1
2019-12-22,1
2019-12-23,1
2019-12-24,1
2019-12-29,1
