Date,Count
2019-01-01,1
2019-01-02,1
2019-01-08,1
2019-01-10,1
2019-01-13,1
2019-01-15,1
2019-01-23,1
2019-01-24,1
2019-01-31,1
2019-02-01,1
2019-02-02,1
2019-02-03,1
2019-02-06,2
2019-02-13,1
2019-02-14,1
2019-02-18,1
2019-02-20,2
2019-02-21,1
2019-02-22,1
2019-02-23,1
2019-02-24,1
2019-02-26,1
2019-03-01,1
2019-03-03,1
2019-03-06,1
2019-03-07,1
2019-03-08,2
2019-03-09,2
2019-03-10,1
2019-03-11,2
2019-03-12,3
2019-03-15,3
2019-03-16,1
2019-03-18,1
2019-03-21,1
2019-03-26,1
2019-03-28,2
2019-03-29,1
2019-03-30,2
2019-04-01,1
2019-04-02,1
2019-04-03,2
2019-04-08,1
2019-04-12,1
2019-04-16,1
2019-04-18,4
2019-04-23,1
2019-04-25,1
2019-04-26,1
2019-04-27,3
2019-04-30,2
2019-05-01,2
2019-05-02,1
2019-05-03,1
2019-05-04,1
2019-05-05,1
2019-05-06,1
2019-05-11,1
2019-05-12,1
2019-05-13,1
2019-05-24,1
2019-05-25,1
2019-05-28,1
2019-05-31,1
2019-06-01,1
2019-06-02,1
2019-06-03,1
2019-06-05,2
2019-06-08,1
2019-06-10,2
2019-06-11,2
2019-06-14,1
2019-06-15,1
2019-06-19,2
2019-06-21,1
2019-06-22,1
2019-06-28,1
2019-06-29,1
2019-06-30,2
2019-07-01,2
2019-07-08,1
2019-07-09,1
2019-07-10,1
2019-07-11,1
2019-07-12,2
2019-07-17,1
2019-07-19,1
2019-07-22,1
2019-07-25,1
2019-07-26,1
2019-07-30,1
2019-08-01,1
2019-08-05,1
2019-08-09,1
2019-08-12,1
2019-08-13,1
2019-08-17,1
2019-08-18,1
2019-08-19,1
2019-08-20,2
2019-08-25,1
2019-08-29,2
2019-08-30,1
2019-09-06,1
2019-09-08,1
2019-09-10,1
2019-09-12,1
2019-09-13,5
2019-09-17,1
2019-09-18,1
2019-09-19,1
2019-09-20,3
2019-09-22,1
2019-09-23,1
2019-09-26,1
2019-10-02,1
2019-10-03,1
2019-10-06,1
2019-10-09,1
2019-10-10,1
2019-10-11,1
2019-10-13,1
2019-10-14,2
2019-10-16,1
2019-10-17,1
2019-10-18,2
2019-10-20,1
2019-10-21,1
2019-10-22,3
2019-10-23,1
2019-10-28,1
2019-10-29,4
2019-11-01,1
2019-11-12,3
2019-11-13,2
2019-11-14,2
2019-11-15,1
2019-11-16,1
2019-11-18,1
2019-11-23,1
2019-11-24,1
2019-11-26,1
2019-11-30,1
2019-12-01,1
2019-12-05,1
2019-12-06,3
2019-12-08,1
2019-12-12,2
2019-12-14,1
2019-12-15,1
2019-12-16,1
2019-12-18,1
2019-12-19,2
2019-12-22,1
2019-12-26,1
2019-12-28,1
