Date,Count
2019-01-05,1
2019-01-13,1
2019-01-14,2
2019-01-16,1
2019-01-17,1
2019-01-18,1
2019-01-20,2
2019-01-22,1
2019-01-25,2
2019-01-28,2
2019-01-29,1
2019-01-30,1
2019-02-01,1
2019-02-02,2
2019-02-04,1
2019-02-05,1
2019-02-06,1
2019-02-08,2
2019-02-10,1
2019-02-12,1
2019-02-13,1
2019-02-17,1
2019-02-23,1
2019-02-26,1
2019-03-01,2
2019-03-02,1
2019-03-05,1
2019-03-12,1
2019-03-14,1
2019-03-15,2
2019-03-16,1
2019-03-19,1
2019-03-21,1
2019-03-24,2
2019-03-26,2
2019-03-27,4
2019-03-28,2
2019-03-30,2
2019-04-01,1
2019-04-02,1
2019-04-03,1
2019-04-05,2
2019-04-08,1
2019-04-12,1
2019-04-13,1
2019-04-14,1
2019-04-16,1
2019-04-19,2
2019-04-26,1
2019-05-03,2
2019-05-04,2
2019-05-05,1
2019-05-12,2
2019-05-13,1
2019-05-14,2
2019-05-15,1
2019-05-16,1
2019-05-17,1
2019-05-18,1
2019-05-19,1
2019-05-21,1
2019-05-22,1
2019-05-24,1
2019-05-30,1
2019-06-02,1
2019-06-11,2
2019-06-14,2
2019-06-25,1
2019-06-30,1
2019-07-09,1
2019-07-10,1
2019-07-11,1
2019-07-12,1
2019-07-13,1
2019-07-14,2
2019-07-15,2
2019-07-17,1
2019-07-18,2
2019-07-19,1
2019-07-21,1
2019-07-23,2
2019-07-24,1
2019-07-25,1
2019-07-28,3
2019-08-02,1
2019-08-06,1
2019-08-10,1
2019-08-11,2
2019-08-14,1
2019-08-16,1
2019-08-19,2
2019-08-22,1
2019-08-23,2
2019-08-24,1
2019-08-25,1
2019-08-27,1
2019-08-28,1
2019-08-29,1
2019-09-04,1
2019-09-05,1
2019-09-07,2
2019-09-16,1
2019-09-19,1
2019-09-25,1
2019-09-27,1
2019-09-28,1
2019-10-05,1
2019-10-09,1
2019-10-14,4
2019-10-15,1
2019-10-16,4
2019-10-17,1
2019-10-20,1
2019-10-21,1
2019-10-22,1
2019-10-24,1
2019-10-25,1
2019-10-26,1
2019-10-27,1
2019-11-03,2
2019-11-05,1
2019-11-08,1
2019-11-09,1
2019-11-11,1
2019-11-12,1
2019-11-15,2
2019-11-18,1
2019-11-20,1
2019-11-21,1
2019-11-23,4
2019-11-27,1
2019-12-01,3
2019-12-02,1
2019-12-05,1
2019-12-06,1
2019-12-07,1
2019-12-10,1
2019-12-13,1
2019-12-14,1
2019-12-15,2
2019-12-16,2
2019-12-17,1
2019-12-23,1
2019-12-27,1
2019-12-31,1
