Date,Count
2019-01-01,410
2019-01-02,263
2019-01-03,339
2019-01-04,359
2019-01-05,275
2019-01-06,288
2019-01-07,288
2019-01-08,289
2019-01-09,313
2019-01-10,371
2019-01-11,361
2019-01-12,340
2019-01-13,344
2019-01-14,338
2019-01-15,304
2019-01-16,347
2019-01-17,351
2019-01-18,424
2019-01-19,277
2019-01-20,348
2019-01-21,302
2019-01-22,332
2019-01-23,351
2019-01-24,396
2019-01-25,403
2019-01-26,351
2019-01-27,330
2019-01-28,349
2019-01-29,352
2019-01-30,186
2019-01-31,270
2019-02-01,502
2019-02-02,373
2019-02-03,322
2019-02-04,348
2019-02-05,336
2019-02-06,322
2019-02-07,392
2019-02-08,497
2019-02-09,356
2019-02-10,318
2019-02-11,325
2019-02-12,337
2019-02-13,384
2019-02-14,376
2019-02-15,455
2019-02-16,352
2019-02-17,319
2019-02-18,357
2019-02-19,312
2019-02-20,339
2019-02-21,381
2019-02-22,476
2019-02-23,308
2019-02-24,314
2019-02-25,334
2019-02-26,345
2019-02-27,353
2019-02-28,399
2019-03-01,503
2019-03-02,367
2019-03-03,369
2019-03-04,371
2019-03-05,394
2019-03-06,390
2019-03-07,415
2019-03-08,455
2019-03-09,370
2019-03-10,324
2019-03-11,338
2019-03-12,371
2019-03-13,373
2019-03-14,414
2019-03-15,455
2019-03-16,521
2019-03-17,372
2019-03-18,352
2019-03-19,313
2019-03-20,366
2019-03-21,424
2019-03-22,420
2019-03-23,369
2019-03-24,343
2019-03-25,315
2019-03-26,344
2019-03-27,328
2019-03-28,390
2019-03-29,425
2019-03-30,340
2019-03-31,346
2019-04-01,366
2019-04-02,368
2019-04-03,372
2019-04-04,411
2019-04-05,427
2019-04-06,253
2019-04-07,107
2019-04-08,97
2019-04-09,107
2019-04-10,123
2019-04-11,120
2019-04-12,147
2019-04-13,177
2019-04-14,354
2019-04-15,320
2019-04-16,342
2019-04-17,309
2019-04-18,371
2019-04-19,359
2019-04-20,344
2019-04-21,343
2019-04-22,332
2019-04-23,279
2019-04-24,363
2019-04-25,380
2019-04-26,395
2019-04-27,351
2019-04-28,317
2019-04-29,299
2019-04-30,325
2019-05-01,346
2019-05-02,365
2019-05-03,422
2019-05-04,340
2019-05-05,325
2019-05-06,382
2019-05-07,305
2019-05-08,344
2019-05-09,327
2019-05-10,414
2019-05-11,362
2019-05-12,331
2019-05-13,297
2019-05-14,303
2019-05-15,320
2019-05-16,367
2019-05-17,378
2019-05-18,342
2019-05-19,302
2019-05-20,288
2019-05-21,303
2019-05-22,353
2019-05-23,365
2019-05-24,390
2019-05-25,365
2019-05-26,298
2019-05-27,257
2019-05-28,299
2019-05-29,269
2019-05-30,326
2019-05-31,449
2019-06-01,295
2019-06-02,277
2019-06-03,304
2019-06-04,302
2019-06-05,284
2019-06-06,382
2019-06-07,422
2019-06-08,406
2019-06-09,294
2019-06-10,288
2019-06-11,299
2019-06-12,303
2019-06-13,348
2019-06-14,403
2019-06-15,320
2019-06-16,308
2019-06-17,275
2019-06-18,300
2019-06-19,303
2019-06-20,354
2019-06-21,373
2019-06-22,388
2019-06-23,340
2019-06-24,282
2019-06-25,360
2019-06-26,398
2019-06-27,364
2019-06-28,377
2019-06-29,338
2019-06-30,419
2019-07-01,321
2019-07-02,290
2019-07-03,284
2019-07-04,262
2019-07-05,280
2019-07-06,244
2019-07-07,271
2019-07-08,291
2019-07-09,340
2019-07-10,324
2019-07-11,369
2019-07-12,372
2019-07-13,333
2019-07-14,283
2019-07-15,315
2019-07-16,298
2019-07-17,350
2019-07-18,346
2019-07-19,371
2019-07-20,311
2019-07-21,313
2019-07-22,281
2019-07-23,276
2019-07-24,294
2019-07-25,356
2019-07-26,371
2019-07-27,318
2019-07-28,293
2019-07-29,243
2019-07-30,264
2019-07-31,310
2019-08-01,357
2019-08-02,383
2019-08-03,348
2019-08-04,287
2019-08-05,308
2019-08-06,305
2019-08-07,317
2019-08-08,341
2019-08-09,366
2019-08-10,315
2019-08-11,371
2019-08-12,286
2019-08-13,277
2019-08-14,324
2019-08-15,322
2019-08-16,352
2019-08-17,303
2019-08-18,282
2019-08-19,312
2019-08-20,297
2019-08-21,290
2019-08-22,311
2019-08-23,311
2019-08-24,294
2019-08-25,257
2019-08-26,278
2019-08-27,293
2019-08-28,292
2019-08-29,330
2019-08-30,323
2019-08-31,269
2019-09-01,276
2019-09-02,246
2019-09-03,321
2019-09-04,279
2019-09-05,338
2019-09-06,355
2019-09-07,256
2019-09-08,268
2019-09-09,265
2019-09-10,311
2019-09-11,309
2019-09-12,390
2019-09-13,411
2019-09-14,327
2019-09-15,301
2019-09-16,292
2019-09-17,301
2019-09-18,278
2019-09-19,381
2019-09-20,398
2019-09-21,339
2019-09-22,291
2019-09-23,281
2019-09-24,324
2019-09-25,373
2019-09-26,368
2019-09-27,366
2019-09-28,295
2019-09-29,297
2019-09-30,282
2019-10-01,294
2019-10-02,305
2019-10-03,365
2019-10-04,359
2019-10-05,292
2019-10-06,313
2019-10-07,256
2019-10-08,303
2019-10-09,275
2019-10-10,325
2019-10-11,343
2019-10-12,301
2019-10-13,284
2019-10-14,292
2019-10-15,311
2019-10-16,333
2019-10-17,346
2019-10-18,333
2019-10-19,318
2019-10-20,306
2019-10-21,329
2019-10-22,286
2019-10-23,293
2019-10-24,365
2019-10-25,393
2019-10-26,309
2019-10-27,303
2019-10-28,309
2019-10-29,308
2019-10-30,363
2019-10-31,410
2019-11-01,412
2019-11-02,310
2019-11-03,285
2019-11-04,283
2019-11-05,310
2019-11-06,276
2019-11-07,316
2019-11-08,377
2019-11-09,291
2019-11-10,276
2019-11-11,261
2019-11-12,317
2019-11-13,317
2019-11-14,376
2019-11-15,416
2019-11-16,305
2019-11-17,250
2019-11-18,280
2019-11-19,313
2019-11-20,299
2019-11-21,336
2019-11-22,391
2019-11-23,303
2019-11-24,241
2019-11-25,314
2019-11-26,305
2019-11-27,283
2019-11-28,230
2019-11-29,220
2019-11-30,298
2019-12-01,314
2019-12-02,296
2019-12-03,335
2019-12-04,309
2019-12-05,399
2019-12-06,382
2019-12-07,322
2019-12-08,254
2019-12-09,261
2019-12-10,309
2019-12-11,325
2019-12-12,374
2019-12-13,452
2019-12-14,326
2019-12-15,279
2019-12-16,317
2019-12-17,329
2019-12-18,329
2019-12-19,384
2019-12-20,375
2019-12-21,280
2019-12-22,243
2019-12-23,269
2019-12-24,225
2019-12-25,177
2019-12-26,265
2019-12-27,306
2019-12-28,262
2019-12-29,254
2019-12-30,278
2019-12-31,314
