Date,Count
2019-01-01,395
2019-01-02,389
2019-01-03,399
2019-01-04,454
2019-01-05,412
2019-01-06,330
2019-01-07,447
2019-01-08,459
2019-01-09,543
2019-01-10,589
2019-01-11,697
2019-01-12,598
2019-01-13,381
2019-01-14,537
2019-01-15,601
2019-01-16,674
2019-01-17,712
2019-01-18,677
2019-01-19,565
2019-01-20,477
2019-01-21,384
2019-01-22,599
2019-01-23,651
2019-01-24,690
2019-01-25,686
2019-01-26,515
2019-01-27,422
2019-01-28,498
2019-01-29,508
2019-01-30,198
2019-01-31,348
2019-02-01,702
2019-02-02,440
2019-02-03,372
2019-02-04,498
2019-02-05,567
2019-02-06,638
2019-02-07,684
2019-02-08,787
2019-02-09,610
2019-02-10,412
2019-02-11,580
2019-02-12,687
2019-02-13,695
2019-02-14,641
2019-02-15,852
2019-02-16,661
2019-02-17,551
2019-02-18,469
2019-02-19,604
2019-02-20,716
2019-02-21,848
2019-02-22,964
2019-02-23,828
2019-02-24,546
2019-02-25,599
2019-02-26,675
2019-02-27,733
2019-02-28,767
2019-03-01,899
2019-03-02,735
2019-03-03,617
2019-03-04,718
2019-03-05,761
2019-03-06,733
2019-03-07,765
2019-03-08,777
2019-03-09,671
2019-03-10,489
2019-03-11,544
2019-03-12,680
2019-03-13,748
2019-03-14,777
2019-03-15,903
2019-03-16,1287
2019-03-17,783
2019-03-18,672
2019-03-19,647
2019-03-20,777
2019-03-21,816
2019-03-22,856
2019-03-23,846
2019-03-24,610
2019-03-25,543
2019-03-26,646
2019-03-27,621
2019-03-28,723
2019-03-29,731
2019-03-30,793
2019-03-31,594
2019-04-01,511
2019-04-02,627
2019-04-03,738
2019-04-04,908
2019-04-05,800
2019-04-06,383
2019-04-07,241
2019-04-08,265
2019-04-09,309
2019-04-10,359
2019-04-11,314
2019-04-12,309
2019-04-13,657
2019-04-14,532
2019-04-15,488
2019-04-16,532
2019-04-17,578
2019-04-18,677
2019-04-19,721
2019-04-20,583
2019-04-21,383
2019-04-22,445
2019-04-23,527
2019-04-24,672
2019-04-25,708
2019-04-26,818
2019-04-27,813
2019-04-28,459
2019-04-29,550
2019-04-30,721
2019-05-01,701
2019-05-02,786
2019-05-03,843
2019-05-04,770
2019-05-05,605
2019-05-06,579
2019-05-07,732
2019-05-08,698
2019-05-09,797
2019-05-10,792
2019-05-11,745
2019-05-12,575
2019-05-13,583
2019-05-14,603
2019-05-15,685
2019-05-16,800
2019-05-17,934
2019-05-18,852
2019-05-19,781
2019-05-20,688
2019-05-21,781
2019-05-22,748
2019-05-23,757
2019-05-24,705
2019-05-25,633
2019-05-26,585
2019-05-27,306
2019-05-28,461
2019-05-29,558
2019-05-30,633
2019-05-31,796
2019-06-01,765
2019-06-02,672
2019-06-03,619
2019-06-04,735
2019-06-05,704
2019-06-06,791
2019-06-07,725
2019-06-08,852
2019-06-09,732
2019-06-10,824
2019-06-11,914
2019-06-12,887
2019-06-13,757
2019-06-14,842
2019-06-15,701
2019-06-16,588
2019-06-17,539
2019-06-18,682
2019-06-19,752
2019-06-20,749
2019-06-21,773
2019-06-22,743
2019-06-23,576
2019-06-24,560
2019-06-25,697
2019-06-26,762
2019-06-27,720
2019-06-28,720
2019-06-29,646
2019-06-30,592
2019-07-01,480
2019-07-02,651
2019-07-03,475
2019-07-04,471
2019-07-05,479
2019-07-06,508
2019-07-07,425
2019-07-08,399
2019-07-09,517
2019-07-10,619
2019-07-11,692
2019-07-12,732
2019-07-13,746
2019-07-14,596
2019-07-15,483
2019-07-16,560
2019-07-17,643
2019-07-18,673
2019-07-19,733
2019-07-20,630
2019-07-21,550
2019-07-22,425
2019-07-23,543
2019-07-24,560
2019-07-25,634
2019-07-26,562
2019-07-27,636
2019-07-28,542
2019-07-29,469
2019-07-30,540
2019-07-31,573
2019-08-01,593
2019-08-02,662
2019-08-03,646
2019-08-04,499
2019-08-05,493
2019-08-06,545
2019-08-07,597
2019-08-08,582
2019-08-09,631
2019-08-10,631
2019-08-11,503
2019-08-12,410
2019-08-13,522
2019-08-14,569
2019-08-15,585
2019-08-16,636
2019-08-17,604
2019-08-18,422
2019-08-19,380
2019-08-20,501
2019-08-21,582
2019-08-22,653
2019-08-23,639
2019-08-24,640
2019-08-25,467
2019-08-26,447
2019-08-27,509
2019-08-28,550
2019-08-29,540
2019-08-30,520
2019-08-31,611
2019-09-01,494
2019-09-02,298
2019-09-03,401
2019-09-04,529
2019-09-05,578
2019-09-06,629
2019-09-07,586
2019-09-08,418
2019-09-09,442
2019-09-10,610
2019-09-11,677
2019-09-12,829
2019-09-13,765
2019-09-14,708
2019-09-15,515
2019-09-16,537
2019-09-17,608
2019-09-18,647
2019-09-19,719
2019-09-20,825
2019-09-21,753
2019-09-22,629
2019-09-23,571
2019-09-24,665
2019-09-25,744
2019-09-26,750
2019-09-27,921
2019-09-28,699
2019-09-29,487
2019-09-30,446
2019-10-01,523
2019-10-02,727
2019-10-03,721
2019-10-04,756
2019-10-05,694
2019-10-06,455
2019-10-07,500
2019-10-08,540
2019-10-09,511
2019-10-10,645
2019-10-11,824
2019-10-12,709
2019-10-13,470
2019-10-14,512
2019-10-15,661
2019-10-16,750
2019-10-17,763
2019-10-18,725
2019-10-19,751
2019-10-20,579
2019-10-21,574
2019-10-22,648
2019-10-23,707
2019-10-24,745
2019-10-25,768
2019-10-26,722
2019-10-27,629
2019-10-28,518
2019-10-29,652
2019-10-30,625
2019-10-31,625
2019-11-01,759
2019-11-02,606
2019-11-03,458
2019-11-04,474
2019-11-05,611
2019-11-06,676
2019-11-07,743
2019-11-08,691
2019-11-09,630
2019-11-10,445
2019-11-11,478
2019-11-12,672
2019-11-13,679
2019-11-14,697
2019-11-15,752
2019-11-16,647
