Date,Count
2019-01-08,1
2019-01-09,1
2019-01-11,1
2019-01-12,2
2019-01-16,1
2019-01-17,1
2019-01-19,1
2019-01-20,1
2019-01-23,4
2019-01-24,4
2019-01-25,1
2019-01-26,1
2019-01-27,5
2019-01-28,2
2019-01-29,1
2019-02-01,2
2019-02-02,1
2019-02-03,5
2019-02-04,3
2019-02-06,1
2019-02-07,2
2019-02-08,1
2019-02-09,2
2019-02-10,1
2019-02-11,1
2019-02-14,3
2019-02-15,2
2019-02-17,5
2019-02-24,1
2019-02-25,3
2019-02-26,5
2019-02-27,4
2019-02-28,2
2019-03-02,2
2019-03-03,1
2019-03-08,2
2019-03-11,1
2019-03-12,1
2019-03-13,1
2019-03-14,1
2019-03-20,5
2019-03-21,1
2019-03-22,1
2019-03-23,1
2019-03-24,1
2019-03-29,1
2019-03-30,1
2019-03-31,2
2019-04-01,3
2019-04-02,1
2019-04-05,2
2019-04-07,1
2019-04-13,1
2019-04-14,2
2019-04-15,5
2019-04-16,2
2019-04-17,4
2019-04-18,2
2019-04-21,2
2019-04-23,1
2019-04-24,1
2019-04-25,1
2019-04-26,1
2019-04-27,2
2019-05-05,1
2019-05-17,1
2019-05-19,1
2019-05-21,1
2019-05-24,3
2019-05-28,1
2019-05-30,1
2019-05-31,1
2019-06-01,1
2019-06-02,1
2019-06-03,2
2019-06-04,2
2019-06-05,1
2019-06-15,1
2019-06-16,3
2019-06-18,1
2019-06-20,1
2019-06-23,1
2019-06-25,1
2019-07-06,2
2019-07-09,2
2019-07-12,2
2019-07-21,1
2019-07-25,2
2019-07-26,1
2019-07-27,1
2019-07-28,3
2019-07-30,2
2019-07-31,1
2019-08-01,2
2019-08-03,1
2019-08-04,1
2019-08-06,1
2019-08-09,3
2019-08-11,1
2019-08-14,1
2019-08-18,2
2019-08-19,1
2019-08-22,2
2019-08-23,2
2019-08-24,3
2019-08-25,3
2019-08-26,1
2019-08-29,1
2019-09-06,1
2019-09-07,1
2019-09-10,2
2019-09-11,1
2019-09-12,3
2019-09-15,3
2019-09-18,3
2019-09-19,1
2019-09-20,2
2019-09-21,1
2019-09-26,3
2019-09-28,2
2019-10-01,1
2019-10-06,1
2019-10-08,1
2019-10-10,2
2019-10-11,1
2019-10-13,1
2019-10-23,1
2019-10-27,1
2019-11-02,1
2019-11-03,2
2019-11-10,2
2019-11-11,2
2019-11-17,2
2019-11-26,1
2019-12-07,1
2019-12-14,1
2019-12-15,1
2019-12-21,2
2019-12-23,1
