Date,Count
2019-01-01,831
2019-01-02,927
2019-01-03,1098
2019-01-04,1256
2019-01-05,1128
2019-01-06,731
2019-01-07,978
2019-01-08,1183
2019-01-09,1331
2019-01-10,1385
2019-01-11,1499
2019-01-12,1035
2019-01-13,723
2019-01-14,1044
2019-01-15,1260
2019-01-16,1361
2019-01-17,1396
2019-01-18,1513
2019-01-19,1144
2019-01-20,857
2019-01-21,805
2019-01-22,1297
2019-01-23,1410
2019-01-24,1513
2019-01-25,1508
2019-01-26,1042
2019-01-27,703
2019-01-28,1102
2019-01-29,1193
2019-01-30,408
2019-01-31,753
2019-02-01,1458
2019-02-02,1038
2019-02-03,707
2019-02-04,1133
2019-02-05,1321
2019-02-06,1313
2019-02-07,1557
2019-02-08,1673
2019-02-09,1147
2019-02-10,792
2019-02-11,1201
2019-02-12,1364
2019-02-13,1439
2019-02-14,1469
2019-02-15,1588
2019-02-16,1171
2019-02-17,951
2019-02-18,962
2019-02-19,1320
2019-02-20,1436
2019-02-21,1619
2019-02-22,1756
2019-02-23,1351
2019-02-24,925
2019-02-25,1181
2019-02-26,1400
2019-02-27,1396
2019-02-28,1503
2019-03-01,1524
2019-03-02,1206
2019-03-03,940
2019-03-04,1313
2019-03-05,1502
2019-03-06,1331
2019-03-07,1500
2019-03-08,1465
2019-03-09,1025
2019-03-10,706
2019-03-11,1140
2019-03-12,1335
2019-03-13,1382
2019-03-14,1533
2019-03-15,1832
2019-03-16,2329
2019-03-17,1011
2019-03-18,1325
2019-03-19,1357
2019-03-20,1336
2019-03-21,1480
2019-03-22,1648
2019-03-23,1122
2019-03-24,839
2019-03-25,1059
2019-03-26,1251
2019-03-27,1261
2019-03-28,1318
2019-03-29,1572
2019-03-30,1320
2019-03-31,885
2019-04-01,1130
2019-04-02,1283
2019-04-03,1453
2019-04-04,1748
2019-04-05,1585
2019-04-06,1215
2019-04-07,813
2019-04-08,1216
2019-04-09,1417
2019-04-10,1520
2019-04-11,1351
2019-04-12,1470
2019-04-13,1108
2019-04-14,749
2019-04-15,1123
2019-04-16,1262
2019-04-17,1318
2019-04-18,1549
2019-04-19,1381
2019-04-20,1081
2019-04-21,662
2019-04-22,1062
2019-04-23,1308
2019-04-24,1427
2019-04-25,1496
2019-04-26,1643
2019-04-27,1268
2019-04-28,775
2019-04-29,1227
2019-04-30,1516
2019-05-01,1508
2019-05-02,1524
2019-05-03,1751
2019-05-04,1376
2019-05-05,1005
2019-05-06,1407
2019-05-07,1439
2019-05-08,1600
2019-05-09,1563
2019-05-10,1680
2019-05-11,1316
2019-05-12,837
2019-05-13,1133
2019-05-14,1365
2019-05-15,1368
2019-05-16,1383
2019-05-17,1701
2019-05-18,1455
2019-05-19,1104
2019-05-20,1389
2019-05-21,1364
2019-05-22,1451
2019-05-23,1508
2019-05-24,1455
2019-05-25,1208
2019-05-26,1017
2019-05-27,675
2019-05-28,1138
2019-05-29,1136
2019-05-30,1456
2019-05-31,1823
2019-06-01,1382
2019-06-02,1183
2019-06-03,1319
2019-06-04,1404
2019-06-05,1626
2019-06-06,1473
2019-06-07,1514
2019-06-08,1391
2019-06-09,1237
2019-06-10,1661
2019-06-11,1836
2019-06-12,1606
2019-06-13,1418
2019-06-14,1612
2019-06-15,1303
2019-06-16,962
2019-06-17,1220
