Date,Count
2019-01-02,1
2019-01-03,1
2019-01-04,1
2019-01-05,1
2019-01-07,1
2019-01-09,2
2019-01-12,1
2019-01-13,1
2019-01-15,1
2019-01-18,1
2019-01-19,1
2019-01-21,1
2019-01-22,1
2019-01-24,1
2019-01-26,2
2019-01-27,2
2019-01-28,1
2019-02-04,1
2019-02-05,2
2019-02-07,1
2019-02-09,1
2019-02-12,2
2019-02-13,1
2019-02-14,1
2019-02-15,1
2019-02-16,1
2019-02-17,1
2019-02-18,1
2019-02-19,2
2019-02-24,4
2019-02-26,2
2019-02-27,1
2019-02-28,2
2019-03-03,2
2019-03-04,1
2019-03-07,1
2019-03-10,3
2019-03-12,1
2019-03-14,1
2019-03-17,1
2019-03-18,1
2019-03-20,1
2019-03-22,1
2019-03-23,1
2019-03-24,1
2019-03-25,2
2019-03-27,1
2019-03-29,1
2019-03-30,1
2019-03-31,1
2019-04-13,3
2019-04-14,2
2019-04-16,2
2019-04-17,1
2019-04-19,1
2019-04-22,1
2019-04-25,1
2019-04-28,1
2019-04-29,1
2019-04-30,1
2019-05-02,1
2019-05-03,1
2019-05-04,2
2019-05-05,2
2019-05-10,1
2019-05-12,4
2019-05-14,1
2019-05-15,1
2019-05-17,1
2019-05-18,2
2019-05-19,1
2019-05-22,1
2019-05-23,2
2019-05-24,1
2019-05-31,1
2019-06-02,1
2019-06-03,1
2019-06-07,1
2019-06-09,2
2019-06-15,1
2019-06-16,1
2019-06-19,2
2019-06-20,2
2019-06-21,1
2019-06-25,1
2019-06-27,1
2019-07-01,1
2019-07-02,1
2019-07-03,2
2019-07-07,4
2019-07-08,1
2019-07-09,3
2019-07-10,1
2019-07-11,1
2019-07-13,1
2019-07-16,1
2019-07-17,1
2019-07-18,1
2019-07-21,1
2019-07-24,1
2019-07-27,1
2019-07-28,1
2019-07-29,2
2019-08-01,1
2019-08-02,1
2019-08-03,2
2019-08-04,2
2019-08-05,1
2019-08-06,2
2019-08-07,1
2019-08-09,1
2019-08-10,1
2019-08-11,1
2019-08-12,2
2019-08-14,1
2019-08-15,1
2019-08-16,1
2019-08-17,1
2019-08-18,2
2019-08-21,3
2019-08-22,1
2019-08-23,1
2019-08-24,1
2019-08-25,1
2019-08-26,1
2019-08-30,2
2019-08-31,2
2019-09-01,1
2019-09-03,1
2019-09-06,1
2019-09-07,2
2019-09-08,2
2019-09-10,1
2019-09-11,2
2019-09-13,1
2019-09-15,2
2019-09-18,3
2019-09-19,1
2019-09-22,1
2019-09-24,1
2019-09-25,1
2019-09-26,1
2019-09-27,2
2019-09-28,1
2019-09-29,2
2019-10-02,1
2019-10-03,2
2019-10-07,1
2019-10-11,1
2019-10-12,1
2019-10-14,1
2019-10-15,1
2019-10-20,2
2019-10-22,1
2019-10-23,2
2019-10-25,2
2019-10-26,1
2019-10-27,2
2019-10-28,2
2019-11-01,2
2019-11-03,1
2019-11-06,1
2019-11-10,1
2019-11-15,1
2019-11-17,2
2019-11-19,1
2019-11-21,2
2019-11-22,3
2019-11-23,2
2019-11-26,1
2019-11-28,2
2019-11-29,2
2019-11-30,1
2019-12-01,1
2019-12-02,1
2019-12-04,2
2019-12-06,1
2019-12-07,1
2019-12-09,1
2019-12-10,2
2019-12-12,1
2019-12-15,1
2019-12-17,1
2019-12-21,1
2019-12-22,2
2019-12-23,1
2019-12-27,1
2019-12-29,1
2019-12-31,2
