Date,Count
2019-01-02,1
2019-01-03,1
2019-01-04,2
2019-01-05,1
2019-01-07,1
2019-01-08,1
2019-01-10,1
2019-01-12,1
2019-01-15,1
2019-01-16,2
2019-01-17,1
2019-01-19,1
2019-01-22,1
2019-01-24,1
2019-01-25,1
2019-01-28,1
2019-01-29,1
2019-02-01,2
2019-02-02,1
2019-02-04,2
2019-02-05,1
2019-02-07,1
2019-02-08,2
2019-02-11,1
2019-02-12,1
2019-02-13,1
2019-02-14,1
2019-02-15,1
2019-02-17,1
2019-02-19,2
2019-02-20,1
2019-02-22,1
2019-02-26,1
2019-02-27,1
2019-02-28,1
2019-03-04,2
2019-03-08,1
2019-03-09,1
2019-03-10,1
2019-03-11,1
2019-03-12,1
2019-03-13,1
2019-03-14,1
2019-03-15,1
2019-03-19,1
2019-03-21,1
2019-03-25,1
2019-03-28,1
2019-04-04,1
2019-04-05,1
2019-04-18,1
2019-04-20,1
2019-04-21,1
2019-04-26,1
2019-04-29,1
2019-05-03,2
2019-05-11,1
2019-05-13,1
2019-05-18,1
2019-05-19,1
2019-05-20,2
2019-05-21,1
2019-05-23,1
2019-05-26,1
2019-05-28,1
2019-05-29,1
2019-05-30,2
2019-05-31,1
2019-06-03,1
2019-06-04,2
2019-06-12,1
2019-06-13,1
2019-06-19,1
2019-06-21,2
2019-06-22,1
2019-06-26,2
2019-06-28,1
2019-07-02,1
2019-07-06,1
2019-07-08,1
2019-07-12,1
2019-07-17,1
2019-07-19,1
2019-07-22,1
2019-07-24,1
2019-07-26,2
2019-07-30,1
2019-07-31,1
2019-08-01,1
2019-08-08,1
2019-08-11,1
2019-08-19,1
2019-08-23,1
2019-08-28,2
2019-08-30,1
2019-09-03,1
2019-09-06,2
2019-09-11,3
2019-09-22,1
2019-09-24,1
2019-09-25,1
2019-09-27,1
2019-09-30,1
2019-10-07,1
2019-10-19,2
2019-10-20,1
2019-10-28,1
2019-10-29,1
2019-10-31,1
2019-11-01,1
2019-11-08,1
2019-11-12,1
2019-11-18,1
2019-12-06,1
2019-12-08,1
2019-12-09,1
2019-12-12,1
2019-12-13,1
2019-12-18,1
2019-12-20,2
2019-12-24,1
2019-12-25,1
2019-12-31,1
